sap_id,streetlight_model,streetlight_type,streetlight_wattage,streetlight_voltage,lng,lat,location_description
SX-003378-004,COBRA,IND,85,120,-117.2331953,32.88938662,GENESEE AV @ SCIENCE CTR DR SEE
SX-003378-002,COBRA,IND,85,120,-117.2335335,32.88953937,GENESEE AV @ SCIENCE CTR DR NEN
SX-003370-004,COBRA,IND,85,120,-117.2389356,32.89129612,AI GENESEE AV @ JOHN JAY HOPKINS DR NEN
SX-003370-003,COBRA,IND,85,120,-117.2392308,32.89145407,AI 10541 GENESEE AV@JOHN JAY HOPKINS DR SEE
SX-003320-002,COBRA,IND,85,120,-117.240526,32.89796875,CRAY CT @ JOHN JAY HOPKINS DR SE
SX-003320-001,COBRA,IND,85,120,-117.2408096,32.89821207,CRAY CT @ JOHN JAY HOPKINS DR NW
SX-003370-002,COBRA,IND,85,120,-117.2390598,32.89085435,AI 10530 GENESEE AV@JOHN JAY HOPKINS DR NWW
SX-003378-003,COBRA,IND,85,120,-117.2336948,32.88928198,GENESEE AV @ SCIENCE CTR DR NWW
SS-020122-005,COBRA,IND,85,240,-117.2420477,32.89752554,AI 10666 NORTH TORREY PINES RD
SX-003557-001,COBRA,IND,85,120,-117.2140466,32.86410148,DECORO ST W/O CO KIOSCO 170' S/S
SS-012127-002,COBRA,IND,85,240,-117.2377615,32.87337489,GILMAN DR N/O L J VLG DR 600' E/S
SS-016793-002,COBRA,IND,85,240,-117.211741,32.86768951,LOMBARD PL N/O NOBEL DR 250' W/S
SS-005992-003,COBRA,IND,85,240,-117.2209563,32.88506946,CAMPUS PT DR N/O GENESEE AVE 385' W/S
SS-030474-001,COBRA,IND,85,120,-117.2160643,32.89724806,VISTA SORRENTO PKWY SE/O LUSK BL 585'
SX-003441-001,COBRA,IND,85,120,-117.2143457,32.87886209,FEZ ST @ GENESEE AV N/E
SS-011993-001,COBRA,IND,85,120,-117.2161718,32.88015311,GENESEE AV N/O FEZ ST NE/S
SX-003441-002,COBRA,IND,85,120,-117.2145075,32.878466,FEZ ST @ GENESEE AV S/W
SS-026734-006,COBRA,IND,85,240,-117.210681,32.8848607,TOWNE CENTRE DR S/O TOWNE CENTRE CT 140' E/S
SS-026727-010,COBRA,IND,85,240,-117.2125198,32.88553867,TOWNE CENTRE DR N/O TOWNE CENTRE CT 395' W/S
SS-020114-001,COBRA,IND,85,120,-117.2418697,32.89311977,N TORREY PINES CT W/O N TORREY PINES RD
SX-003378-005,COBRA,IND,85,120,-117.2334358,32.88911087,GENESEE AV @ SCIENCE CTR DR SWS
SS-012018-003,COBRA,IND,85,120,-117.2353274,32.89029142,GENESEE AV W/O SCIENCE CTR DR 650' N/S
SS-027223-001,COBRA,IND,165,120,-117.228191,32.87029111,UNIVERSITY CTR LN N/O NOBEL DR 750' W/S
,COBRA,IND,85,120,-117.2162057,32.87153355,COSTA VERDE S/O LA JOLLA VLG DR 275'
SX-003528-002,COBRA,HPS,1,1,-117.2117415,32.86727068,LOMBARD PL @ NOBEL DR NWW
SX-003528-001,COBRA,HPS,1,1,-117.2113528,32.8669194,LOMBARD PL @ NOBEL DR SEE
SX-003532-003,COBRA,IND,165,120,-117.2138701,32.86696599,GENESEE AV @ NOBEL DR NWW
SX-003536-002,COBRA,IND,165,120,-117.2163281,32.86668461,COSTA VERDE BL @ NOBEL DR NEN
,COBRA,,250,120,-117.2167163,32.86821354,
SS-008054-004,COBRA,IND,165,120,-117.2167891,32.86821924,AI COSTA VERDE BL S/O PLAZA DE PALMAS 400'
SS-008054-003,COBRA,IND,85,120,-117.2169105,32.86885356,COSTA VERDE S/O PZ DE PALMAS 465'
SX-003514-002,COBRA,IND,165,120,-117.2187968,32.86844177,CRYSTAL DAWN LN @ REGENTS RD SW
,COBRA,IND,165,120,-117.2160365,32.87057714,CS COSTA VERDE BL N/O PLAZA DE PALMAS 510' E/S
,COBRA,IND,165,120,-117.2158688,32.87152199,CS COSTA VERDE BL S/O LA JOLLA VILLAGE DR 160' E/S
SX-003448-004,COBRA,IND,165,120,-117.2138353,32.87752746,EASTGATE MALL & GENESEE SEE
SS-009807-002,COBRA,HPS,150,120,-117.2122725,32.87767793,EASTGATE MALL E/O EASTER WY 420' S/S
SX-003448-005,COBRA,IND,165,120,-117.2142275,32.87737289,EASTGATE MALL @ GENESEE SWS
SX-003536-004,COBRA,IND,85,120,-117.2166833,32.86674933,COSTA VERDE BL @ NOBEL DR NWW
SX-003536-005,COBRA,IND,165,120,-117.2166145,32.86638858,COSTA VERDE BL @ NOBEL DR SWS
SS-006290-001,COBRA,IND,85,120,-117.2162364,32.8649461,CARGILL AV S/O NOBEL AV 460' E/S
SX-003536-003,COBRA,IND,165,120,-117.2163409,32.86633322,COSTA VERDE BL @ NOBEL DR SEE
SX-003514-001,COBRA,IND,85,120,-117.2183847,32.86860392,REGENTS RD N/O NOBEL DR 495' E/S
SX-003347-004,COBRA,IND,165,120,-117.2119645,32.89375878,DIRECTORS PL @ VISTA SORRENTO PKWY SWS
SX-003347-003,COBRA,IND,165,120,-117.2117423,32.89365576,DIRECTORS PL @ VISTA SORRENTO PKWY SEE
SX-003347-005,COBRA,IND,165,120,-117.2119083,32.89401075,DIRECTORS PL @ VISTA SORRENTO PKWY NWW
SS-020122-007,COBRA,IND,165,240,-117.2409499,32.89437945,AI N TORREY PINES S/O SCRIPPS CLINIC 312'1W
SS-020122-006,COBRA,IND,165,240,-117.241282,32.89406238,AI N TORREY PINES S/O SCRIPPS CLINIC 219'1E
SS-012019-018,COBRA,IND,165,120,-117.2213705,32.88339914,GENESEE AV W/O CAMPUS PT DR 615' N/S
SS-019966-001,COBRA,IND,165,120,-117.2201577,32.86812938,NOBEL DR W/O REGENTS RD 360' N/S
,COBRA,IND,85,240,-117.2217731,32.88741533,CS CAMPUS POINT DR S/O CAMPUS POINT CT 260'
SX-003463-001,COBRA,IND,85,240,-117.2446016,32.87497794,LA JOLLA FARMS RD @ LA JOLLA SHORES DR S/S
SS-005992-004,COBRA,IND,165,120,-117.2198849,32.88320065,AI CAMPUS POINT DR N/O GENESEE AV 2030' E/S
SS-012019-016,COBRA,IND,165,120,-117.2208464,32.88282077,GENESEE AV W/O CAMPUS PT DR 350' N/S
SS-012019-020,COBRA,IND,165,120,-117.2217845,32.88400749,GENESEE AV W/O CAMPUS PT DR 875' N/S
SS-012018-002,COBRA,IND,165,120,-117.2375049,32.89088009,GENESEE AV E/O JOHN JAY HOPKINS DR 600' N/S
SX-003367-003,COBRA,IND,165,120,-117.2402526,32.89223243,GENESEE AV @ TORREY PINES RD N NWW
SX-003351-001,COBRA,IND,165,120,-117.2410951,32.89285454,AI N TORREY PINES RD@ N TORREY PINES CT SW
SX-003367-002,COBRA,IND,165,120,-117.2406913,32.89196229,GENESEE AV @ TORREY PINES RD N SWS
